Jurisdiction	Bill Number	Bill Title	Bill Status	Bill Summary	Category
Colorado	S 240	Electronic Discovery in Criminal Cases Task Force	Enacted	Relates to the creation of the Electronic Discovery in Criminal Cases Task Force; provides that the task force consists of a specified number of task force members; provides that the purpose of the task force is to study the costs and management of electronic discovery in criminal cases.	Judicial Use; Studies
Colorado	S 288	Intimate Digital Depictions Criminal Civil Actions	Enacted	Concerns preventing certain disclosures of intimate depictions; creates a cause of action for nonconsensual disclosure of an intimate digital depiction and adding and amending related provisions in criminal law.	Notification; Private Right of Action; Child Pornography; Criminal Use
Connecticut	H 5045	Unlawful Dissemination of Intimate Images	Failed	Relates to the unlawful dissemination of intimate images that are digitally altered or created through the use of AI; criminalizes the nonconsensual creation and dissemination of deep fake pornography.	Criminal Use
Connecticut	H 5598	Creation and Dissemination of Artificial Intelligence	Failed	Establishes a crime prohibiting the creation and dissemination of AI generated pornographic images of a person without such person’s consent.	Criminal Use
Connecticut	H 6846	Artificial Intelligence Deceptive Synthetic Media	Failed - Adjourned	Concerns AI, deceptive synthetic media and elections; prohibits distribution of certain deceptive synthetic media within the ninety-day period preceding an election or primary.	Elections; Criminal Use; Notification
Connecticut	S 348	Unlawful Dissemination of Intimate Images	Failed	Concerns unlawful dissemination of intimate images that are digitally altered or created through the use of AI; criminalizes unauthorized dissemination of intimate images that are digitally altered or created through the use of AI.	Criminal Use
Connecticut	S 1143	Creation and Dissemination of Intimate Images	Failed	Prohibits the creation and dissemination of intimate images generated using AI and without consent; prohibits the production and distribution of deepfake intimate images that are generated without the consent of the individual depicted, establish criminal penalties for violations of such prohibition and make civil remedies available for victims.	Criminal Use
Connecticut	S 1440	Unauthorized Dissemination of Intimate Images	Failed - Adjourned	Concerns unauthorized dissemination of intimate images that are digitally altered or created through the use of AI; criminalizes unauthorized dissemination of intimate images that are digitally altered or created through the use of AI.	Criminal Use
Florida	S 562	Use of AI To Detect Firearms	Failed	Prohibits the use of AI to detect firearms in public areas; provides criminal penalties.	Private Sector Use; Criminal Use
Florida	S 1180	Sexual Images	Failed	Prohibits lewd imagery or depictions involving a child; prohibits the creation of such depictions; provides criminal penalties; prohibits the generation of nude photos involving identifiable persons; authorizes civil actions for violations of such prohibition.	Private Sector Use; Child Pornography
